1627,543,3,
1628,543,4,12530
1629,543,9,12980
1630,544,3,7720
1631,544,4,14360
1632,544,9,14870
1633,545,3,
1634,545,4,15770
1635,545,9,16230
1636,546,3,
1637,546,4,15970
1638,546,9,16440
1639,547,3,8030
1640,547,4,19200
1641,547,9,19780
1642,548,3,
1643,548,4,19500
1644,548,9,19990
1645,549,3,
1646,549,4,20260
1647,549,9,20720
1648,550,3,8410
1649,550,4,22760
1650,550,9,23020
1651,551,3,
1652,551,4,27980
1653,551,9,28110
